Class,Sub Class,Order,Sub Order,Occupations,Under 5 Years,Under 15 Years,15 and under 20 Years,20 and under 25 Years,25 and under 45 Years,45 and under 65 Years,65 Years and Upwards,Unspecified,Total Males,Under 5 Years,Under 15 Years,15 and under 20 Years,20 and under 25 Years,25 and under 45 Years,45 and under 65 Years,65 Years and Upwards,Unspecified,Total Females
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.",Furniture,"Furniture dealer, hirer",,1,6,9,42,22,2,,82,,1,1,1,4,4,,,11
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.",Chemicals and By-products,Chemical materials (not drugs) dealer,,,,,1,,,,1,,,,,,,,,
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.",Chemicals and By-products,Chemical by-products dealer,,,,1,1,,,,2,,,,,,,,,
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.",Chemicals and By-products,Others,,,6,7,10,5,,,28,,,,,1,,,,1
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Paper, Paper-makers' Materials",Paper dealer,,,1,,2,,1,,4,,,,,,,,,
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Paper, Paper-makers' Materials",Stationer,,5,36,32,66,33,3,,175,,1,6,6,10,3,,,26
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Paper, Paper-makers' Materials","Rag, waste-paper dealer",,,,,,2,,,2,,,,,,,,,
Commercial,Trade,"Persons dealing in Art and Mechanic Productions, in which Matters of various Kinds are employed in Combination.","Paper, Paper-makers' Materials",Others,,,1,,,,,,1,,,,,,,,,
Commercial,Trade,"Persons engaged in the Sale, Hire, or Exchange of Textile Fabrics and Dress and of Fibrous Materials.",Textile Fabrics,Manchester warehouseman,,,164,179,402,75,4,,831,,,1,2,3,1,,,7
Commercial,Trade,"Persons engaged in the Sale, Hire, or Exchange of Textile Fabrics and Dress and of Fibrous Materials.",Textile Fabrics,"Draper, linen, woollen draper",,62,341,248,614,236,11,1,"1,513",,3,105,134,141,38,3,1,425
Commercial,Trade,"Persons engaged in the Sale, Hire, or Exchange of Textile Fabrics and Dress and of Fibrous Materials.",Textile Fabrics,"Silk dealer, mercer",,,2,,3,1,1,,7,,,,,,,,,
Commercial,Trade,"Persons engaged in the Sale, Hire, or Exchange of Textile Fabrics and Dress and of Fibrous Materials.",Textile Fabrics,Others,,,,,,,,,,,,1,1,,,,,2
Commercial,Trade,"Persons engaged in the Sale, Hire, or Exchange of Textile Fabrics and Dress and of Fibrous Materials.",Dress,"Clothes dealer, outfitter, slop-seller",,4,13,19,43,19,,,98,,,1,,3,1,,,5
Commercial,Trade,"Persons engaged in the Sale, Hire, or Exchange of Textile Fabrics and Dress and of Fibrous Materials.",Dress,"Hosier, hatter, haberdasher, glover",,,4,10,15,8,1,,38,,,2,5,,2,,,9
Commercial,Trade,"Persons engaged in the Sale, Hire, or Exchange of Textile Fabrics and Dress and of Fibrous Materials.",Dress,"Shoe, boot dealer",,7,20,20,68,19,2,1,137,,1,,9,5,5,,,35
Commercial,Trade,"Persons engaged in the Sale, Hire, or Exchange of Textile Fabrics and Dress and of Fibrous Materials.",Dress,"Umbrella, parasol, stick dealer",,,,,,2,,,2,,,,1,1,1,,,3
Commercial,Trade,"Persons engaged in the Sale, Hire, or Exchange of Textile Fabrics and Dress and of Fibrous Materials.",Dress,"Fur, rug dealer",,,1,,1,,,,2,,,,,,,,,
Commercial,Trade,"Persons engaged in the Sale, Hire, or Exchange of Textile Fabrics and Dress and of Fibrous Materials.",Dress,Second-hand clothes dealer,,,,,1,3,,,4,,,,,2,3,,,5
Commercial,Trade,"Persons engaged in the Sale, Hire, or Exchange of Textile Fabrics and Dress and of Fibrous Materials.",Dress,Others,,,,,,,,,,,,3,3,5,2,1,,19
Commercial,Trade,"Persons engaged in the Sale, Hire, or Exchange of Textile Fabrics and Dress and of Fibrous Materials.",Fibrous Materials,"Tent, tarpaulin dealer and assistant",,1,,,,1,,,2,,,,,,,,,
Commercial,Trade,"Persons engaged in dealing in Food, Drinks, Narcotics, and Stimulants.",Animal Food,"Dairyman, milk-seller",,96,92,43,183,104,8,,526,,22,6,6,25,22,,,81
Commercial,Trade,"Persons engaged in dealing in Food, Drinks, Narcotics, and Stimulants.",Animal Food,Cheesemonger,,,,,3,,,,3,,,,,,,,,1
Commercial,Trade,"Persons engaged in dealing in Food, Drinks, Narcotics, and Stimulants.",Animal Food,"Butcher, meat salesman",,100,521,529,"1,250",431,20,5,"2,856",,2,2,6,14,10,1,,35
Commercial,Trade,"Persons engaged in dealing in Food, Drinks, Narcotics, and Stimulants.",Animal Food,Provision dealer,,1,3,2,6,5,1,,18,,,,,1,,,,1
Commercial,Trade,"Persons engaged in dealing in Food, Drinks, Narcotics, and Stimulants.",Animal Food,"Poulterer, game dealer",,,,1,3,5,1,,11,,,,,1,1,,,2
Commercial,Trade,"Persons engaged in dealing in Food, Drinks, Narcotics, and Stimulants.",Animal Food,"Fishmonger, fish-hawker, oyster, shellfish dealer",,10,21,9,80,78,17,,215,,2,1,,8,5,2,,19
Commercial,Trade,"Persons engaged in dealing in Food, Drinks, Narcotics, and Stimulants.",Animal Food,Others,,1,2,2,8,,,,15,,,,,,,,,
Commercial,Trade,"Persons engaged in dealing in Food, Drinks, Narcotics, and Stimulants.",Vegetable Food,"Corn, flour, meal, merchant, dealer",,5,20,28,134,61,2,,250,,,,,1,,,,1
Commercial,Trade,"Persons engaged in dealing in Food, Drinks, Narcotics, and Stimulants.",,Bread and biscuit dealer,,6,46,17,35,5,,,109,,,4,7,8,6,,,25
Commercial,Trade,"Persons engaged in dealing in Food, Drinks, Narcotics, and Stimulants.",,"Confectionery, pastry dealer",,8,34,24,61,34,7,,168,,2,15,16,21,13,1,,68
Commercial,Trade,"Persons engaged in dealing in Food, Drinks, Narcotics, and Stimulants.",,"Greengrocer, potato dealer, fruiterer",,10,22,20,143,86,9,1,291,,5,19,10,79,46,6,,165
Commercial,Trade,"Persons engaged in dealing in Food, Drinks, Narcotics, and Stimulants.",,Others,,3,7,15,44,35,3,,107,,,,,1,3,1,,5
Commercial,Trade,"Persons engaged in dealing in Food, Drinks, Narcotics, and Stimulants.","Drinks, Narcotics, and Stimulants","Wine, spirits, ale merchant, salesman, Australian wine-seller",,,4,7,37,20,2,,70,,,,,,,,,
Commercial,Trade,"Persons engaged in dealing in Food, Drinks, Narcotics, and Stimulants.","Drinks, Narcotics, and Stimulants","Ginger-beer, soda-water, mineral water, cordial merchant, salesman",,,1,1,3,,,,5,,,,,,,,,
Commercial,Trade,"Persons engaged in dealing in Food, Drinks, Narcotics, and Stimulants.","Drinks, Narcotics, and Stimulants","Coffee, chicory dealer",,1,3,2,3,3,,,12,,,,,,,,,
Commercial,Trade,"Persons engaged in dealing in Food, Drinks, Narcotics, and Stimulants.","Drinks, Narcotics, and Stimulants","Grocer, tea-dealer",,92,408,286,646,257,26,,"1,715",,3,18,15,57,50,3,,146
Commercial,Trade,"Persons engaged in dealing in Food, Drinks, Narcotics, and Stimulants.","Drinks, Narcotics, and Stimulants",Tobacconist,,3,7,13,55,21,3,,102,,1,1,1,4,2,,,9
Commercial,Trade,"Persons engaged in dealing in Food, Drinks, Narcotics, and Stimulants.","Drinks, Narcotics, and Stimulants",Others,,,,4,,1,,,5,,,,,,,,,
Commercial,Trade,"Persons engaged in dealing in and treating Animals, and dealing in Animal and Vegetable Substances, excluding Dealers in Food.",Living Animals,Live-stock dealer,,1,1,12,131,59,3,,207,,,,,,,,,
Commercial,Trade,"Persons engaged in dealing in and treating Animals, and dealing in Animal and Vegetable Substances, excluding Dealers in Food.",Living Animals,"Animal-trainer, horsebreaker",,2,29,66,176,25,4,,302,,,,,,,,,
Commercial,Trade,"Persons engaged in dealing in and treating Animals, and dealing in Animal and Vegetable Substances, excluding Dealers in Food.",Living Animals,"Others (including 430 grooms, not domestic)",,25,112,101,197,81,8,,524,,,,,,,,,
Commercial,Trade,"Persons engaged in dealing in and treating Animals, and dealing in Animal and Vegetable Substances, excluding Dealers in Food.",Manures and Animal Waste-products,Bone-dealer,,,,,,1,,,1,,,,,,,,,
Commercial,Trade,"Persons engaged in dealing in and treating Animals, and dealing in Animal and Vegetable Substances, excluding Dealers in Food.",Manures and Animal Waste-products,Others,,,,,3,2,,,5,,,,,,,,,
Commercial,Trade,"Persons engaged in dealing in and treating Animals, and dealing in Animal and Vegetable Substances, excluding Dealers in Food.",Raw Materials and Manufactures,"Hide, skin",,,1,3,8,3,,,15,,,,,,,,,
Commercial,Trade,"Persons engaged in dealing in and treating Animals, and dealing in Animal and Vegetable Substances, excluding Dealers in Food.",Raw Materials and Manufactures,"dealer Prepared skins, leather dealer",,1,4,3,11,6,1,,26,,,,2,,,,,2
Commercial,Trade,"Persons engaged in dealing in and treating Animals, and dealing in Animal and Vegetable Substances, excluding Dealers in Food.",Raw Materials and Manufactures,Others,,,1,,3,,,,4,,,,,,,,,
Commercial,Trade,"Persons engaged in dealing in and treating Animals, and dealing in Animal and Vegetable Substances, excluding Dealers in Food.",Other Animal Matters,"Wool broker, dealer",,1,6,9,51,19,3,,89,,,,,,,,,
Commercial,Trade,"Persons engaged in dealing in and treating Animals, and dealing in Animal and Vegetable Substances, excluding Dealers in Food.",Other Animal Matters,"Tallow, fat dealer",,,1,1,,1,,,3,,,,,,,,,
Commercial,Trade,"Persons engaged in dealing in and treating Animals, and dealing in Animal and Vegetable Substances, excluding Dealers in Food.","Seeds, Plants, Flowers, and Vegetable Products for Fodder and Gardening Purposes",Seed-merchant,,3,15,7,30,19,4,,78,,,,,,,,,
Commercial,Trade,"Persons engaged in dealing in and treating Animals, and dealing in Animal and Vegetable Substances, excluding Dealers in Food.","Seeds, Plants, Flowers, and Vegetable Products for Fodder and Gardening Purposes","Flower-seller, florist",,,3,1,8,2,,,14,,,2,1,,,,,3
Commercial,Trade,"Persons engaged in dealing in and treating Animals, and dealing in Animal and Vegetable Substances, excluding Dealers in Food.","Seeds, Plants, Flowers, and Vegetable Products for Fodder and Gardening Purposes",Hay and straw dealer,,,1,,7,,1,,9,,,,,,,,,
Commercial,Trade,"Persons engaged in dealing in and treating Animals, and dealing in Animal and Vegetable Substances, excluding Dealers in Food.","Seeds, Plants, Flowers, and Vegetable Products for Fodder and Gardening Purposes",Others,,,,,2,,,,2,,,,,,,,,
Commercial,Trade,"Persons engaged in dealing in and treating Animals, and dealing in Animal and Vegetable Substances, excluding Dealers in Food.",Other Vegetable Matters not included elsewhere,Bark dealer,,,,,2,,,,2,,,,,,,,,
Commercial,Trade,"Persons engaged in dealing in and treating Animals, and dealing in Animal and Vegetable Substances, excluding Dealers in Food.",Other Vegetable Matters not included elsewhere,Others,,,,,1,,,,1,,,,,,,,,
Commercial,Trade,Persons engaged in dealing in Minerals and other Materials mainly used for Fuel and Light.,Coal and other Substances mainly used for Fuel and Light,"Coal, coke dealer, merchant",,6,21,23,163,110,7,1,331,,,,,5,1,,,6
Commercial,Trade,Persons engaged in dealing in Minerals and other Materials mainly used for Fuel and Light.,Coal and other Substances mainly used for Fuel and Light,Firewood dealer,,,2,6,25,21,3,,57,,,,,,,,,
Commercial,Trade,Persons engaged in dealing in Minerals and other Materials mainly used for Fuel and Light.,Coal and other Substances mainly used for Fuel and Light,"Petroleum, kerosene, paraffin dealer",,,,,1,1,,,2,,,,,,,,,
Commercial,Trade,Persons engaged in dealing in Minerals and other Materials mainly used for Fuel and Light.,Coal and other Substances mainly used for Fuel and Light,Others,,,,,1,,,,1,,,,,,,,,
Commercial,Trade,Persons engaged in dealing in Minerals other than for Fuel.,"Stone, Clay, Earthenware, Glass, and Minerals not otherwise classed","Stone, gravel, sand dealer",,,,,2,,1,,3,,,,,,,,,
Commercial,Trade,Persons engaged in dealing in Minerals other than for Fuel.,"Stone, Clay, Earthenware, Glass, and Minerals not otherwise classed",Lime dealer,,,,,3,4,,,7,,,,,,,,,
Commercial,Trade,Persons engaged in dealing in Minerals other than for Fuel.,"Stone, Clay, Earthenware, Glass, and Minerals not otherwise classed",Brick and tile dealer,,,,1,,1,,,2,,,,,,,,,
Commercial,Trade,Persons engaged in dealing in Minerals other than for Fuel.,"Stone, Clay, Earthenware, Glass, and Minerals not otherwise classed","Pottery ware, earthenware dealer",,,,2,1,2,,,5,,,,,,,,,
Commercial,Trade,Persons engaged in dealing in Minerals other than for Fuel.,"Stone, Clay, Earthenware, Glass, and Minerals not otherwise classed","Glass, glassware dealer",,,2,1,1,3,,,7,,,,,,,,,
Commercial,Trade,Persons engaged in dealing in Minerals other than for Fuel.,"Stone, Clay, Earthenware, Glass, and Minerals not otherwise classed","Chinaware, crockeryware dealer",,1,4,1,16,4,1,,27,,,1,1,2,,,,4
Commercial,Trade,Persons engaged in dealing in Minerals other than for Fuel.,"Gold, Silver, and Precious Stones","Gold, silver buyer",,,,,1,,,,1,,,,,,,,,
Commercial,Trade,Persons engaged in dealing in Minerals other than for Fuel.,Metals other than Gold and Silver,"Tin, zinc dealer",,,1,1,2,2,,,6,,,,,,,,,
Commercial,Trade,Persons engaged in dealing in Minerals other than for Fuel.,Metals other than Gold and Silver,"Antimony, lead dealer",,,,,,1,,,1,,,,,,,,,
Commercial,Trade,Persons engaged in dealing in Minerals other than for Fuel.,Metals other than Gold and Silver,"Iron-ore, pig-iron, scrap-iron dealer",,,,,1,,,,1,,,,,,,,,
Commercial,Trade,Persons engaged in dealing in Minerals other than for Fuel.,Metals other than Gold and Silver,"Iron bar, plate, rod, wire dealer",,,1,,11,3,,,15,,,,,,,,,
Commercial,Trade,Persons engaged in dealing in Minerals other than for Fuel.,Metals other than Gold and Silver,"Ironmonger, hardware dealer, and assistant",,16,136,123,257,101,7,,640,,,,2,1,,1,,4
Commercial,Trade,Persons engaged in dealing in Minerals other than for Fuel.,Metals other than Gold and Silver,Kauri-gum buyer and assistant,,2,14,20,53,29,5,,123,,,,,,,,,
Commercial,Trade,Persons engaged as General Dealers or in undefined Mercantile Pursuits.,General Dealers,Merchant and assistant,,2,17,26,230,214,12,1,502,,,,,,,,,
Commercial,Trade,Persons engaged as General Dealers or in undefined Mercantile Pursuits.,General Dealers,"Shopkeeper, storekeeper and assistants, wife assisting",,144,385,221,919,687,75,4,"2,435",,30,120,102,257,179,24,,712
Commercial,Trade,Persons engaged as General Dealers or in undefined Mercantile Pursuits.,General Dealers,General dealer,,6,11,6,100,129,19,,271,,8,1,2,18,12,4,,45
Commercial,Trade,Persons engaged as General Dealers or in undefined Mercantile Pursuits.,General Dealers,"Hawker, pedler",,6,15,16,108,62,5,1,213,,,1,,7,6,1,,15
Commercial,Trade,Persons engaged as General Dealers or in undefined Mercantile Pursuits.,General Dealers,Broker,,,,,9,7,1,,17,,,,,,,,,
Commercial,Trade,Persons engaged as General Dealers or in undefined Mercantile Pursuits.,General Dealers,Commission agent,,4,11,26,314,278,44,1,678,,,,,1,1,,,2
Commercial,Trade,Persons engaged as General Dealers or in undefined Mercantile Pursuits.,General Dealers,Others,,,,2,10,7,1,,20,,,,,,2,1,,3
Commercial,Trade,Persons engaged as General Dealers or in undefined Mercantile Pursuits.,Other Mercantile Persons,Officer of public company (not otherwise described),,,10,8,32,9,1,,60,,,,,1,,,,1
Commercial,Trade,Persons engaged as General Dealers or in undefined Mercantile Pursuits.,Other Mercantile Persons,"Clerk, cashier, accountant, bookkeeper (commercial or undefined)",,54,644,612,"1,017",470,55,4,"2,856",,,12,23,5,2,,,42
Commercial,Trade,Persons engaged as General Dealers or in undefined Mercantile Pursuits.,Other Mercantile Persons,"Commercial traveller, salesman, saleswoman",,,22,99,332,91,3,12,559,,2,78,115,72,4,,,271
Commercial,Trade,Persons engaged as General Dealers or in undefined Mercantile Pursuits.,Other Mercantile Persons,Others,,1,,1,43,10,3,,58,,,1,1,11,6,,,19
Commercial,Storage,Storage,Persons engaged in Storage,"Storekeeper, clerk connected with free or bonded stores (not shopkeeper)",,,,2,18,3,2,,25,,,,,,,,,
Commercial,Storage,Storage,Persons engaged in Storage,"Store labourer, storeman (not shopman), storewoman",,7,105,148,503,229,12,,"1,004",,,,1,,,,,1
Commercial,Storage,Storage,Persons engaged in Storage,Others,,,,4,,,1,,5,,,,,,,,,
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Railways (not Railway Construction) or Tramways,"Railway manager, officer, clerk, stationmaster, or agent",,2,161,121,328,101,6,1,720,,,,,,,,,
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Railways (not Railway Construction) or Tramways,"Railway engine-driver, stoker, cleaner",,,65,91,288,48,,,492,,,,,,,,,
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Railways (not Railway Construction) or Tramways,"Railway guard, porter, pointsman, &c.",,2,136,110,351,189,11,1,800,,,,,4,2,,,6
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Railways (not Railway Construction) or Tramways,"Railway ganger or fettler, platelayer, labourer (not construction)",,2,62,72,727,382,17,,"1,262",,,,,,,,,
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Railways (not Railway Construction) or Tramways,Tram service,,2,46,46,96,20,,,210,,,,,,,,,
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Roads,"Coach, omnibus, cab proprietor, agent",,2,8,11,152,85,11,1,270,,,,,,3,,,3
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Roads,"Coach, omnibus, cab driver, conductor, servant",,3,54,76,243,76,5,2,459,,,,,,,,,
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Roads,"Drayman, carrier, carter, express-driver, relative assisting",,56,293,403,"1,331",715,65,1,"2,864",,,,,3,1,,,4
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Roads,"Livery-stable keeper, horse-letter, stable-boy",,4,17,21,112,44,3,,201,,,,,2,1,,,3
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Roads,Others,,7,60,58,111,31,1,,268,,,,,,,,,
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Seas and Rivers,"Harbour, pier service officer",,2,5,9,41,56,10,,123,,,,,,,,,
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Seas and Rivers,Pilot,,,,1,8,19,2,,30,,,,,,,,,
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Seas and Rivers,Lighthouse-keeper,,,1,2,50,13,3,,69,,,,,,,,,
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Seas and Rivers,"Ship owner, agent, manager, and assistant",,4,47,46,126,60,3,,286,,,,,,,,,
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Seas and Rivers,"Ship master, officer, seaman (merchant service)",,2,55,159,"2,440",347,49,2,"3,054",,,,,1,,,,1
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Seas and Rivers,"Engineer, stoker, coal-trimmer of steamer (merchant service)",,1,8,29,706,60,,,804,,,,,,,,,
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Seas and Rivers,"Steward, ship servant, stewardess",,1,16,9,575,12,,,613,,,1,3,49,4,,,57
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Seas and Rivers,"Bargeman, lighterman",,,,3,15,8,1,,27,,,,,,,,,
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Seas and Rivers,"Stevedore, lumper",,5,14,60,391,1746,4,,650,,,,,,,,,
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Seas and Rivers,"Waterman, boatman, boat proprietor, agent, and assistant",,3,16,8,57,72,14,,170,,,,,,,,,
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Seas and Rivers,Others,,4,4,4,58,27,4,,101,,,1,,,1,,,2
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Postal Service,"Postal officer, postmaster, postmistress, clerk, sorter",,2,33,40,201,65,6,,347,,,9,7,13,7,4,,40
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Postal Service,Letter-carrier,,1,29,22,51,11,,,114,,,,,1,,,,1
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Postal Service,Mail-contractor,,,2,1,10,16,1,,30,,,,,,,,,
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Postal Service,"Mailman, mail guard and boy",,2,12,1,9,1,1,,26,,,,,,,,,
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Postal Service,Others,,2,10,3,4,4,,,23,,,,,,,,,
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Telegraph and Telephone Service,"Telegraph officer, operator, stationmaster, stationmistress, clerk",,2,80,132,239,16,,1,470,,,3,4,6,,,,13
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Telegraph and Telephone Service,"Electrician, lineman",,,1,1,46,29,,,77,,,,,,,,,
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Telegraph and Telephone Service,Telephone service,,,10,17,6,2,,,35,,1,2,3,4,,,,10
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.",On Telegraph and Telephone Service,Messenger,,61,102,1,,,,,164,,,,,,,,,
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.","Delivery of Documents, Parcels, and Messages",Messenger and porter (not railway),,111,110,6,21,44,11,,303,,,,,3,,,,3
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.","Delivery of Documents, Parcels, and Messages","Errand boy, girl",,134,72,1,,,,,207,,,,,,,,,
Commercial,Transport and Communication,"Persons engaged in the Transport of Passengers, Goods, or Communications.","Delivery of Documents, Parcels, and Messages",Others,,,,,,,,,,,,,,1,,,,1
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Books and Publications,"Publisher, newspaper proprietor, and assistant",,5,11,11,68,28,2,,125,,,,,2,,,,2
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Books and Publications,"Printer, printing-office manager, and assistant",,73,331,156,322,85,14,,"1,031",,,4,1,,,,,5
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Books and Publications,Compositor,,16,180,230,256,54,3,,739,,1,24,22,7,,,,54
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Books and Publications,Others employed in printing,,9,16,10,4,2,1,,42,,2,8,4,2,,,,16
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Books and Publications,"Bookbinder, machine-ruler, and assistant",,7,53,40,66,21,5,,192,,4,51,25,2,,,,82
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Books and Publications,Others,,,1,1,,1,,,3,,,8,10,4,1,,,23
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Musical Instruments,Musical-instrument maker,,,1,2,7,4,,,14,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Musical Instruments,"Musical-instrument tuner, repairer",,,2,7,23,16,,,48,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Prints, Pictures, and Art-materials","Lithographer, lithographic, zincographic printer",,,37,27,34,13,,,111,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Prints, Pictures, and Art-materials","Picture-frame maker, picture cleaner, restorer",,,6,2,13,6,1,,28,,,,1,,,1,,2
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Prints, Pictures, and Art-materials",Others,,,,,,1,,,1,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Ornaments, Minor Art-products, and Small Wares","Carver in wood, stone, bone, ivory, or other materials (sculptor excepted)",,2,5,12,16,19,1,,55,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Ornaments, Minor Art-products, and Small Wares","Modeller, image-maker",,,1,,8,1,,,10,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Ornaments, Minor Art-products, and Small Wares",Taxidermist,,,,,2,5,,,7,,,,,,1,,,1
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Ornaments, Minor Art-products, and Small Wares",Toy-maker,,,,,,2,1,,3,,,1,,,,,,1
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Ornaments, Minor Art-products, and Small Wares",Basket and wickerware maker,,3,17,6,23,13,3,,65,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Ornaments, Minor Art-products, and Small Wares",Artificial-flower maker and other workers in minor-art products,,,,,1,1,,,2,,,,,2,,,,2
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Ornaments, Minor Art-products, and Small Wares",Others,,,,1,8,2,2,,13,,1,7,7,2,3,1,,21
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Designs, Medals, Type, and Dies","Stamp, die, medal maker",,,,1,2,1,,,4,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Designs, Medals, Type, and Dies","Pattern designer, maker",,,4,4,8,4,,,20,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Designs, Medals, Type, and Dies",Rubber-stamp maker,,,,,2,,,,2,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,"Designs, Medals, Type, and Dies",Others,,,,1,12,1,,,14,,,,,,,,,
Industrial,,Persons engaged in connection with the Manufacture of or in other Processes relating to Art and Mechanic Productions in which Materials of various Kinds are employed in combination.,Watches and Clocks and Scientific Instruments,"Chronometer, watch, clock maker, apprentice, assistant",,8,64,73,190,77,18,,430,,,,1,,,,,1
