"Class","Sub Class","Order","Sub Order","Occupations","Gender","Age Group","Count"
"Industrial",NA,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.","Roads, Railways, Bridges, Earthworks, Docks","Carter, waggoner","Male","15 and under 20 Years",19
"Industrial",NA,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.","Roads, Railways, Bridges, Earthworks, Docks","Engine-driver, fireman (at works)","Male","15 and under 20 Years",8
"Industrial",NA,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.","Roads, Railways, Bridges, Earthworks, Docks","Navvy, road, railway labourer, excavator, ballast-man","Male","15 and under 20 Years",118
"Industrial",NA,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.","Roads, Railways, Bridges, Earthworks, Docks","Stone-breaker, stonebreaking-machine worker","Male","15 and under 20 Years",NA
"Industrial",NA,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.","Roads, Railways, Bridges, Earthworks, Docks","Dredge-worker, diving-bell worker","Male","15 and under 20 Years",3
"Industrial",NA,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.","Roads, Railways, Bridges, Earthworks, Docks","Drainer, pavior","Male","15 and under 20 Years",2
"Industrial",NA,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.","Roads, Railways, Bridges, Earthworks, Docks","Others","Male","15 and under 20 Years",1
"Industrial",NA,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.","Disposition of Dead Matter or Refuse","Cemetery-keeper, gravedigger, labourer","Male","15 and under 20 Years",NA
"Industrial",NA,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.","Disposition of Dead Matter or Refuse","Scavenger, street-cleaner","Male","15 and under 20 Years",NA
"Industrial",NA,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.","Disposition of Dead Matter or Refuse","Chimney-sweep","Male","15 and under 20 Years",NA
"Industrial",NA,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.","Disposition of Dead Matter or Refuse","Nightman, nightcart-driver","Male","15 and under 20 Years",1
"Industrial",NA,"Persons engaged in the Making or Repairing of Buildings, Roads, Railways, Docks, Earthworks, &c., in the Disposal of Silt, Dead Matter, or Refuse, or in Mechanical Operations or Labour the Nature of which is undefined.","Disposition of Dead Matter or Refuse","Others","Male","15 and under 20 Years",NA
"Industrial",NA,"Industrial Workers imperfectly defined.","Imperfectly defined","Mechanic, manufacturer (so defined)","Male","15 and under 20 Years",6
"Industrial",NA,"Industrial Workers imperfectly defined.","Imperfectly defined","Factory-worker (undefined)","Male","15 and under 20 Years",31
"Industrial",NA,"Industrial Workers imperfectly defined.","Imperfectly defined","Engineer, engine-driver, stoker (undefined), apprentice","Male","15 and under 20 Years",121
"Industrial",NA,"Industrial Workers imperfectly defined.","Imperfectly defined","Labourer (undefined)","Male","15 and under 20 Years",2326
"Industrial",NA,"Industrial Workers imperfectly defined.","Imperfectly defined","Others","Male","15 and under 20 Years",51
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Agricultural Pursuits","Farmer","Male","15 and under 20 Years",337
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Agricultural Pursuits","Relative assisting","Male","15 and under 20 Years",5564
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Agricultural Pursuits","Farm bailiff, overseer","Male","15 and under 20 Years",8
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Agricultural Pursuits","Farm-servant, agricultural labourer","Male","15 and under 20 Years",3075
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Agricultural Pursuits","Market-gardener, relative assisting","Male","15 and under 20 Years",31
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Agricultural Pursuits","Fruit-grower, relative assisting","Male","15 and under 20 Years",16
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Agricultural Pursuits","Hop grower, picker, labourer","Male","15 and under 20 Years",1
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Agricultural Pursuits","Wine-grower, vigneron","Male","15 and under 20 Years",NA
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Agricultural Pursuits","Gardener, horticulturist, relative assisting","Male","15 and under 20 Years",176
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Agricultural Pursuits","Agricultural-implement owner, worker, assistant","Male","15 and under 20 Years",69
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Agricultural Pursuits","Others","Male","15 and under 20 Years",83
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Pastoral Pursuits","Runholder, grazier, sheep or cattle farmer","Male","15 and under 20 Years",15
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Pastoral Pursuits","Relative assisting","Male","15 and under 20 Years",137
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Pastoral Pursuits","Station overseer, manager","Male","15 and under 20 Years",5
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Pastoral Pursuits","Stock rider, drover, shepherd, shearer, &c., cowboy, cadet","Male","15 and under 20 Years",750
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Pastoral Pursuits","Dairy-farmer, cowboy, relative assisting","Male","15 and under 20 Years",23
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Pastoral Pursuits","Milker, dairymaid, and others connected with dairy","Male","15 and under 20 Years",47
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Pastoral Pursuits","Others","Male","15 and under 20 Years",12
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Fisheries; the Capture, Preservation, or Destruction of Wild Animals, or the Acquisition of Products yielded by Wild Animals","Fisherman, fisherwoman","Male","15 and under 20 Years",44
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Fisheries; the Capture, Preservation, or Destruction of Wild Animals, or the Acquisition of Products yielded by Wild Animals","Oyster, crayfish, shrimp, shellfish capturer, collector","Male","15 and under 20 Years",NA
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Fisheries; the Capture, Preservation, or Destruction of Wild Animals, or the Acquisition of Products yielded by Wild Animals","Engaged in whale, seal, porpoise fishery pursuits (all branches)","Male","15 and under 20 Years",NA
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Fisheries; the Capture, Preservation, or Destruction of Wild Animals, or the Acquisition of Products yielded by Wild Animals","Rabbit-catcher, trapper, bee-keeper, and assistant","Male","15 and under 20 Years",249
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Fisheries; the Capture, Preservation, or Destruction of Wild Animals, or the Acquisition of Products yielded by Wild Animals","Others","Male","15 and under 20 Years",1
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Forestry, or the Acquisition of Raw Products yielded by Natural Vegetation","Director, overseer, bailiff, and others engaged in forestry","Male","15 and under 20 Years",2
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Forestry, or the Acquisition of Raw Products yielded by Natural Vegetation","Bushman, grubber","Male","15 and under 20 Years",308
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Forestry, or the Acquisition of Raw Products yielded by Natural Vegetation","Others","Male","15 and under 20 Years",14
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Engaged in the Conservancy of Water in all its Forms, and in Water-supply from Natural Sources","Waterworks officer, workman, water-race manager, clerk, caretaker","Male","15 and under 20 Years",5
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Engaged in the Conservancy of Water in all its Forms, and in Water-supply from Natural Sources","Others","Male","15 and under 20 Years",4
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Mines, Quarries, or the Acquisition of Natural Products","Mine proprietor, overseer, miner, clerk, and others engaged in gold-mining (lode)","Male","15 and under 20 Years",231
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Mines, Quarries, or the Acquisition of Natural Products","Mine proprietor, overseer, miner, clerk, and others engaged in gold-mining (alluvial)","Male","15 and under 20 Years",433
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Mines, Quarries, or the Acquisition of Natural Products","Mine proprietor, overseer, miner, clerk, and others engaged in silver silver-lead, mining","Male","15 and under 20 Years",1
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Mines, Quarries, or the Acquisition of Natural Products","Mine proprietor, overseer, miner, clerk, and others engaged in coalmining","Male","15 and under 20 Years",227
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Mines, Quarries, or the Acquisition of Natural Products","Mine proprietor, overseer, miner, clerk, and others engaged in iron-ore mining","Male","15 and under 20 Years",NA
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Mines, Quarries, or the Acquisition of Natural Products","Mine proprietor, overseer, miner, clerk, and others engaged in mining for other minerals","Male","15 and under 20 Years",4
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Mines, Quarries, or the Acquisition of Natural Products","Quarry owner, overseer, clerk","Male","15 and under 20 Years",NA
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Mines, Quarries, or the Acquisition of Natural Products","Quarryman, labourer, and others engaged in quarries","Male","15 and under 20 Years",10
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Mines, Quarries, or the Acquisition of Natural Products","Kauri-gum digger, scraper, worker","Male","15 and under 20 Years",203
"Agricultural, Pastoral, Mineral, and other Primary Producers.",NA,"Persons directly engaged in the Cultivation of Land, or in rearing or breeding Animals, or in obtaining Raw Products from Natural Sources.","Mines, Quarries, or the Acquisition of Natural Products","Others","Male","15 and under 20 Years",20
"Indefinite",NA,"Persons whose Occupations are undefined or unknown, embracing those who derive Incomes from Sources which cannot be directly related to any other Class.","Persons of Independent Means, having no Specific Occupation, or undefined:","Pensioner","Male","15 and under 20 Years",NA
"Indefinite",NA,"Persons whose Occupations are undefined or unknown, embracing those who derive Incomes from Sources which cannot be directly related to any other Class.","Persons of Independent Means, having no Specific Occupation, or undefined:","Annuitant","Male","15 and under 20 Years",1
"Indefinite",NA,"Persons whose Occupations are undefined or unknown, embracing those who derive Incomes from Sources which cannot be directly related to any other Class.","Persons of Independent Means, having no Specific Occupation, or undefined:","Lady, gentleman, of independent means (so returned)","Male","15 and under 20 Years",19
"Indefinite",NA,"Persons whose Occupations are undefined or unknown, embracing those who derive Incomes from Sources which cannot be directly related to any other Class.","Others undefined, both as regards Means and Particular Occupation","Manager, assistant, apprentice, proprietor, employer, foreman, partner, contractor (so returned)","Male","15 and under 20 Years",91
"Indefinite",NA,"Persons whose Occupations are undefined or unknown, embracing those who derive Incomes from Sources which cannot be directly related to any other Class.","Others undefined, both as regards Means and Particular Occupation","Others","Male","15 and under 20 Years",151
"Dependents",NA,"Persons dependent upon Natural Guardians.","Domestic Duties for which Remuneration is not paid","Wife, widow, of no specified occupation","Male","15 and under 20 Years",NA
"Dependents",NA,"Persons dependent upon Natural Guardians.","Domestic Duties for which Remuneration is not paid","Son, daughter, relative, performing domestic duties","Male","15 and under 20 Years",156
"Dependents",NA,"Persons dependent upon Natural Guardians.","Domestic Duties for which Remuneration is not paid","Visitor, lodger, stated to be performing domestic duties","Male","15 and under 20 Years",6
"Dependents",NA,"Persons dependent upon Natural Guardians.","Domestic Duties for which Remuneration is not paid","Others","Male","15 and under 20 Years",4
"Dependents",NA,"Persons dependent upon Natural Guardians.","Dependent Scholars and Students","Son, daughter, relative, supported at universities. &c.","Male","15 and under 20 Years",23
"Dependents",NA,"Persons dependent upon Natural Guardians.","Dependent Scholars and Students","Son, daughter, relative, at school","Male","15 and under 20 Years",2366
"Dependents",NA,"Persons dependent upon Natural Guardians.","Dependent Scholars and Students","Child, relative, receiving tuition at home","Male","15 and under 20 Years",67
"Dependents",NA,"Persons dependent upon Natural Guardians.","Dependent Relatives not stated to be performing Domestic Duties","Father, mother, dependent on children","Male","15 and under 20 Years",NA
"Dependents",NA,"Persons dependent upon Natural Guardians.","Dependent Relatives not stated to be performing Domestic Duties","Son, daughter, relative","Male","15 and under 20 Years",194
"Dependents",NA,"Persons dependent upon Natural Guardians.","Dependent Relatives not stated to be performing Domestic Duties","Visitor, lodger, boarder","Male","15 and under 20 Years",72
"Dependents",NA,"Persons dependent upon the State, or upon Public or Private Support.","Supported by Voluntary and State Contributions","Inmate of hospital","Male","15 and under 20 Years",34
"Dependents",NA,"Persons dependent upon the State, or upon Public or Private Support.","Supported by Voluntary and State Contributions","“ benevolent asylum","Male","15 and under 20 Years",6
"Dependents",NA,"Persons dependent upon the State, or upon Public or Private Support.","Supported by Voluntary and State Contributions","“ lunatic asylum","Male","15 and under 20 Years",9
"Dependents",NA,"Persons dependent upon the State, or upon Public or Private Support.","Supported by Voluntary and State Contributions","“ orphan asylum","Male","15 and under 20 Years",1
"Dependents",NA,"Persons dependent upon the State, or upon Public or Private Support.","Supported by Voluntary and State Contributions","“ industrial school","Male","15 and under 20 Years",31
"Dependents",NA,"Persons dependent upon the State, or upon Public or Private Support.","Supported by Voluntary and State Contributions","“ refuge","Male","15 and under 20 Years",NA
"Dependents",NA,"Persons dependent upon the State, or upon Public or Private Support.","Supported by Voluntary and State Contributions","Pauper, beggar","Male","15 and under 20 Years",NA
"Dependents",NA,"Persons dependent upon the State, or upon Public or Private Support.","Supported by Voluntary and State Contributions","Others","Male","15 and under 20 Years",16
"Dependents",NA,"Persons dependent upon the State, or upon Public or Private Support.","Criminals","Prisoner in gaol","Male","15 and under 20 Years",16
"Dependents",NA,"Persons dependent upon the State, or upon Public or Private Support.","Criminals","Others","Male","15 and under 20 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","General Government","The Governor","Female","20 and under 25 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","General Government","Cabinet Minister (not otherwise described)","Female","20 and under 25 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","General Government","Member of Parliament (not otherwise described)","Female","20 and under 25 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","General Government","Officer of Government Department (not otherwise classed)","Female","20 and under 25 Years",1
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Local Government","Officer of local body","Female","20 and under 25 Years",1
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Local Government","Others (including Mayors or members of local bodies whose ordinary occupation is not stated)","Female","20 and under 25 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Defence","Permanent Militia officer in actual service","Female","20 and under 25 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Defence","Permanent Militia non-commissioned officer, private","Female","20 and under 25 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Defence","Naval officer in actual service","Female","20 and under 25 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Defence","Naval petty officer, sailor","Female","20 and under 25 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Defence","Others (including Militia or Volunteer officer whose ordinary occupation is not stated)","Female","20 and under 25 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Law and Order","Judge","Female","20 and under 25 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Law and Order","Law-court officer","Female","20 and under 25 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Law and Order","Magistrate","Female","20 and under 25 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Law and Order","Barrister","Female","20 and under 25 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Law and Order","Solicitor","Female","20 and under 25 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Law and Order","Law clerk, lawyers' clerk","Female","20 and under 25 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Law and Order","Law-student","Female","20 and under 25 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Law and Order","Others connected with the law","Female","20 and under 25 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Law and Order","Police","Female","20 and under 25 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Law and Order","Penal officer","Female","20 and under 25 Years",NA
"Professional",NA,"Persons engaged in Government (not otherwise classed), Defence, Law, and Protection.","Law and Order","Others","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Religion","Clergyman","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Religion","Irregular clergy","Female","20 and under 25 Years",40
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Religion","Theological student","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Religion","Church officer","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Religion","Member of religious order not classed as ministering to charity or education","Female","20 and under 25 Years",4
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Religion","Others connected with religion","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Charity (exclusive of hospitals)","Officer or servant of charitable or benevolent institution","Female","20 and under 25 Years",15
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Charity (exclusive of hospitals)","Sister of charity","Female","20 and under 25 Years",4
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Health","Medical man in practice","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Health","Medical student","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Health","Irregular medical practitioner and assistant","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Health","Dentist (including apprentice)","Female","20 and under 25 Years",2
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Health","Pharmaceutical chemist, druggist, and assistant","Female","20 and under 25 Years",1
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Health","Hospital or asylum officer, nurse, or. attendant (not elsewhere described)","Female","20 and under 25 Years",99
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Health","Midwife, monthly nurse","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Health","Sick-nurse","Female","20 and under 25 Years",12
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Health","Veterinary surgeon and assistant","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Health","Others","Female","20 and under 25 Years",3
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Literature","Author, editor, journalist","Female","20 and under 25 Years",1
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Literature","Reporter, shorthand-writer","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Literature","Interpreter","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Literature","Others","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Science","Analytical chemist","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Science","Assayer, metallurgist","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Science","Geologist, mineralogist","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Science","Naturalist, biologist, botanist","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Science","Others","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying","Civil engineer","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying","Civil engineer's assistant, clerk, cadet","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying","Mechanical engineer (directing or consulting)","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying","Electrician (not connected with telegraph or telephone service),","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying","Surveyor","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying","Surveyor's assistant, chainman, cadet, labourer","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying","Architect","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying","Architect's assistant","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying","Draughtsman (undefined, engineer's, surveyor's, architect's, railway)","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Civil and Mechanical Engineering, Architecture, and Surveying","Others","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Education","Officer of Education Department (includes Inspector of Schools)","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Education","University professor, demonstrator, lecturer, &c.","Female","20 and under 25 Years",NA
"Professional",NA,"Persons ministering to Religion, Charity Health, Science, Education, and Art.","Education","School master, mistress, teacher, pupil-teacher","Female","20 and under 25 Years",867
